Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
29-Nov-24,EQ,"1,851.10","1,877.00","1,845.00","1,856.65","1,856.95","1,857.85","1,859.93","1,991.45","1,358.35","52,44,346","9,75,41,22,115.25","2,17,020"
28-Nov-24,EQ,"1,914.90","1,914.90","1,851.65","1,924.50","1,860.30","1,856.65","1,869.78","1,991.45","1,358.35","84,68,790","15,83,47,48,613.30","2,84,687"
27-Nov-24,EQ,"1,930.10","1,941.40","1,911.75","1,924.15","1,927.00","1,924.50","1,926.81","1,991.45","1,358.35","44,47,143","8,56,87,81,533.80","1,46,524"
26-Nov-24,EQ,"1,904.95","1,938.60","1,897.30","1,889.70","1,920.20","1,924.15","1,926.35","1,991.45","1,358.35","68,50,495","13,19,64,71,061.70","3,12,960"
25-Nov-24,EQ,"1,916.00","1,919.30","1,882.00","1,902.25","1,891.00","1,889.70","1,890.66","1,991.45","1,358.35","1,27,64,638","24,13,35,84,391.95","1,96,770"
22-Nov-24,EQ,"1,854.10","1,914.05","1,834.00","1,834.05","1,889.20","1,902.25","1,880.71","1,991.45","1,358.35","63,01,486","11,85,12,97,771.15","1,85,473"
21-Nov-24,EQ,"1,842.00","1,867.00","1,820.60","1,824.75","1,834.00","1,834.05","1,836.76","1,991.45","1,358.35","54,36,504","9,98,55,80,026.60","2,32,740"
19-Nov-24,EQ,"1,825.50","1,859.70","1,820.55","1,811.45","1,822.50","1,824.75","1,839.98","1,991.45","1,358.35","46,69,769","8,59,22,82,283.60","1,42,990"
18-Nov-24,EQ,"1,849.20","1,849.20","1,795.00","1,864.55","1,815.05","1,811.45","1,813.82","1,991.45","1,358.35","48,39,244","8,77,75,30,199.20","2,07,559"
14-Nov-24,EQ,"1,865.60","1,876.00","1,856.00","1,868.40","1,865.00","1,864.55","1,865.97","1,991.45","1,358.35","43,11,431","8,04,50,09,313.65","2,06,703"
13-Nov-24,EQ,"1,861.10","1,873.20","1,856.30","1,868.80","1,869.00","1,868.40","1,866.77","1,991.45","1,358.35","42,57,495","7,94,77,52,333.85","1,87,205"
12-Nov-24,EQ,"1,871.10","1,881.00","1,861.00","1,860.10","1,861.00","1,868.80","1,871.65","1,991.45","1,358.35","50,12,450","9,38,15,50,004.50","1,82,346"
11-Nov-24,EQ,"1,829.00","1,868.00","1,822.55","1,829.95","1,859.05","1,860.10","1,855.73","1,991.45","1,358.35","38,04,234","7,05,96,43,882.45","2,40,025"
08-Nov-24,EQ,"1,818.00","1,840.60","1,813.15","1,803.05","1,825.95","1,829.95","1,832.23","1,991.45","1,358.35","42,10,960","7,71,54,46,613.70","1,99,379"
07-Nov-24,EQ,"1,812.95","1,825.70","1,787.00","1,823.70","1,802.85","1,803.05","1,802.49","1,991.45","1,358.35","45,50,965","8,20,30,53,863.70","2,74,916"
06-Nov-24,EQ,"1,764.00","1,827.20","1,762.65","1,754.20","1,821.00","1,823.70","1,809.14","1,991.45","1,358.35","1,04,21,494","18,85,39,55,667.25","3,05,870"
05-Nov-24,EQ,"1,760.00","1,768.45","1,745.00","1,763.65","1,753.00","1,754.20","1,754.19","1,991.45","1,358.35","31,60,880","5,54,47,81,198.40","1,68,160"
04-Nov-24,EQ,"1,724.50","1,767.00","1,718.00","1,760.85","1,763.05","1,763.65","1,742.20","1,991.45","1,358.35","73,36,722","12,78,20,53,575.35","2,37,541"
01-Nov-24,EQ,"1,764.50","1,766.00","1,752.05","1,757.25","1,755.60","1,760.85","1,761.68","1,991.45","1,351.65","3,71,966","65,52,84,656.85","29,613"
31-Oct-24,EQ,"1,787.90","1,787.90","1,746.50","1,802.10","1,762.95","1,757.25","1,759.11","1,991.45","1,351.65","73,95,236","13,00,90,50,347.40","2,83,103"
30-Oct-24,EQ,"1,832.00","1,839.00","1,796.35","1,839.30","1,798.80","1,802.10","1,813.08","1,991.45","1,351.65","59,19,715","10,73,29,32,366.35","2,21,376"
29-Oct-24,EQ,"1,846.00","1,851.60","1,829.00","1,865.35","1,839.95","1,839.30","1,840.82","1,991.45","1,351.65","46,21,252","8,50,68,71,719.80","1,57,581"
28-Oct-24,EQ,"1,859.70","1,881.90","1,857.00","1,862.05","1,865.00","1,865.35","1,872.16","1,991.45","1,351.65","70,18,940","13,14,06,01,455.55","1,57,551"
25-Oct-24,EQ,"1,863.45","1,876.35","1,846.40","1,863.35","1,866.00","1,862.05","1,861.41","1,991.45","1,351.65","46,89,120","8,72,83,92,271.00","1,81,283"
24-Oct-24,EQ,"1,861.40","1,884.00","1,860.00","1,873.40","1,863.60","1,863.35","1,866.54","1,991.45","1,351.65","29,06,475","5,42,50,65,456.80","1,37,718"
23-Oct-24,EQ,"1,845.25","1,886.00","1,844.00","1,851.60","1,868.30","1,873.40","1,872.18","1,991.45","1,351.65","43,11,910","8,07,26,63,538.05","1,77,546"
22-Oct-24,EQ,"1,858.20","1,877.80","1,846.95","1,852.75","1,853.55","1,851.60","1,858.27","1,991.45","1,351.65","41,25,240","7,66,57,99,770.25","1,89,972"
21-Oct-24,EQ,"1,891.10","1,898.80","1,838.00","1,879.60","1,850.10","1,852.75","1,856.08","1,991.45","1,351.65","46,54,601","8,63,93,26,330.60","1,85,546"
18-Oct-24,EQ,"1,893.80","1,936.85","1,869.25","1,968.10","1,885.00","1,879.60","1,891.59","1,991.45","1,351.65","1,05,26,196","19,91,12,46,940.10","3,35,832"
17-Oct-24,EQ,"1,935.20","1,978.00","1,930.15","1,920.10","1,974.55","1,968.10","1,957.70","1,991.45","1,351.65","81,62,822","15,98,03,88,201.05","2,95,717"
